City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,rachitova,0,RO,05/02/2018,60,45.6,22.75,57.81,7.18
340,pochutla,8,MX,05/02/2018,96,15.74,-96.47,84.45,5.39
341,nadym,64,RU,05/02/2018,82,65.53,72.51,10.11,9.42
342,neka,24,IR,05/02/2018,94,36.65,53.3,53.22,2.59
343,yasnyy,88,RU,05/02/2018,68,64.04,44.09,33.51,6.73
344,mount gambier,88,AU,05/02/2018,79,-37.83,140.78,58.53,8.63
345,luderitz,8,NA,05/02/2018,84,-26.65,15.16,58.53,12.44
346,cabo san lucas,0,MX,05/02/2018,91,22.89,-109.91,73.92,3.83
347,karla,0,EE,05/02/2018,89,59.37,24.93,42.42,9.42
348,ostersund,0,SE,05/02/2018,75,63.18,14.64,39.81,8.19
349,iquitos,64,PE,05/02/2018,82,-3.75,-73.25,83.01,3.38
350,evensk,76,RU,05/02/2018,100,61.92,159.24,26.04,4.83
351,saryagash,0,KZ,05/02/2018,64,41.45,69.17,54.57,8.97
352,sitka,48,US,05/02/2018,48,37.17,-99.65,80.58,16.24
353,najran,36,SA,05/02/2018,30,17.54,44.22,72.84,4.16
354,ulladulla,0,AU,05/02/2018,98,-35.36,150.48,63.39,7.74
355,college,90,US,05/02/2018,70,64.86,-147.8,32.0,8.05
356,pisco,0,PE,05/02/2018,70,-13.71,-76.2,73.56,3.94
357,shingu,92,JP,05/02/2018,93,33.72,135.99,67.62,14.67
358,salaga,12,GH,05/02/2018,96,8.55,-0.52,76.8,3.15
359,rundu,0,NA,05/02/2018,37,-17.91,19.77,62.04,8.3
360,yar-sale,12,RU,05/02/2018,72,66.83,70.83,4.26,11.99
361,nantucket,0,US,05/02/2018,78,41.28,-70.1,53.76,22.06
362,aljezur,0,PT,05/02/2018,100,37.31,-8.8,56.64,4.61
363,kalispell,80,US,05/02/2018,56,48.2,-114.32,53.58,3.04
